idx,p_x,p_y,p_z,q_w,q_x,q_y,q_z
103,-1.52202,1.36334,0.0944543,0.743569,-1.30896e-05,0.0157942,-0.668472
104,-1.52205,1.36342,0.094405,0.743436,8.55772e-05,0.0161454,-0.668612
105,-1.52195,1.36321,0.0944744,0.743693,-0.000244968,0.0157671,-0.668335
106,-1.52199,1.36329,0.0943644,0.743493,4.25972e-07,0.0161585,-0.668549
107,-1.52201,1.36334,0.0944814,0.74349,0.000177322,0.0157626,-0.668561
108,-1.52202,1.36334,0.094418,0.743515,8.25763e-05,0.0158926,-0.668531
109,-1.52202,1.36332,0.0944823,0.743661,-4.2633e-05,0.0155577,-0.668376
110,-1.52203,1.36332,0.0944292,0.743485,-4.84496e-05,0.0157172,-0.668568
111,-1.52198,1.36336,0.0944645,0.743656,-5.81828e-05,0.0157981,-0.668375
112,-1.52201,1.36337,0.0945037,0.743721,-0.00010899,0.0160787,-0.668297
113,-1.52199,1.36339,0.0944094,0.743811,5.34497e-05,0.0161534,-0.668195
114,-1.52189,1.36344,0.0944488,0.744619,1.23882e-05,0.0162238,-0.667293
115,-1.52195,1.36347,0.0944394,0.744652,0.000104027,0.0162586,-0.667255
116,-1.5219,1.36342,0.0945322,0.744829,-1.455e-06,0.0163702,-0.667055
117,-1.52197,1.36335,0.0944732,0.745287,0.000171697,0.0160599,-0.66655
118,-1.52201,1.36331,0.0946148,0.745186,0.000330541,0.016241,-0.666659
119,-1.52197,1.36341,0.0944874,0.7447,0.000319317,0.0163316,-0.6672
120,-1.52163,1.3641,0.0944122,0.743429,0.00134264,0.0171749,-0.668593
121,-1.52153,1.36518,0.0947177,0.740956,0.000588743,0.0151319,-0.671383
122,-1.52099,1.36613,0.0946363,0.738664,0.00117017,0.0159711,-0.673884
123,-1.52073,1.36646,0.0944817,0.738351,0.000941191,0.0161128,-0.674223
124,-1.52011,1.36767,0.0945933,0.736762,0.00177,0.015521,-0.675971
125,-1.51939,1.36855,0.0945746,0.736779,0.00201153,0.0168081,-0.675922
126,-1.51817,1.37075,0.0946879,0.737541,0.00142889,0.0166343,-0.675096
127,-1.51731,1.37215,0.0948147,0.738582,0.00187977,0.0157292,-0.673978
128,-1.51508,1.37522,0.0955578,0.740725,0.00391016,0.0186449,-0.671538
129,-1.51307,1.37749,0.0967602,0.742171,0.00493773,0.0215615,-0.669845
130,-1.50936,1.38153,0.100607,0.745172,0.00268399,0.0232436,-0.666461
131,-1.50678,1.38441,0.104375,0.746581,0.00133191,0.0226357,-0.664908
132,-1.50349,1.38942,0.112099,0.747478,-0.000727159,0.0195588,-0.663998
